smiles,molecular_weight,#ro5_violations,alogp,standard_value,mol,MACCS_fp,morgan_fp
CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,364.46,0.0,3.49,40.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939AD60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95819E0>
CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,413.9,1.0,5.19,50.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581900>
CS(=O)(=O)c1ccc(-c2csc(CC(=O)O)c2-c2ccc(F)cc2)cc1,390.46,0.0,4.25,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C16D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581A50>
CC(C)CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,316.49,1.0,5.66,4500.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939AB30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581AC0>
COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,574.08,2.0,5.28,190.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939AAC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581B30>
COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,453.95,1.0,5.25,4000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1D60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581C10>
Nc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1,280.25,0.0,3.54,100000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939AA50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581C80>
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,469.67,1.0,7.22,83920.89499850964,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A7B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581CF0>
CC[C@@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,338.43,0.0,2.95,500.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A4A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581D60>
COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,464.54,0.0,4.54,870.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C19E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A5F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9581DD0>
