,Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Value
0,CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,364.46,0.0,3.49,40.0
1,CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,413.9,1.0,5.19,50.0
2,CS(=O)(=O)c1ccc(-c2csc(CC(=O)O)c2-c2ccc(F)cc2)cc1,390.46,0.0,4.25,10000.0
3,CC(C)CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,316.49,1.0,5.66,4500.0
4,COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,574.08,2.0,5.28,190.0
5,COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,453.95,1.0,5.25,4000.0
6,Nc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1,280.25,0.0,3.54,100000.0
7,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,469.67,1.0,7.22,83920.89499850964
8,CC[C@@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,338.43,0.0,2.95,500.0
9,COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,464.54,0.0,4.54,870.0
10,NC12CC3CC(CC(C3)C1)C2,151.25,0.0,1.91,83920.82782110343
11,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,367.3,1.0,5.49,10.0
12,CCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,399.87,0.0,4.8,100.0
13,C=C(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,440.71,1.0,8.28,10000.0
14,CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccc(O)cc2)C1,338.41,0.0,4.44,100000.0
15,CCOc1ccc(C2CC(C(C)(C)C)=NN2c2ccc(C(=O)O)cc2)cc1,366.46,1.0,5.14,100000.0
16,c1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,365.4,0.0,4.65,11100.0
17,CC(=O)O[C@@H]1CC[C@]2(C)C3=C(CC[C@H]2C1(C)C)[C@@]1(C)CC[C@@H]([C@H](CCC=C(C)C)C(=O)O)[C@]1(C)CC3,498.75,1.0,8.11,10000.0
18,CC(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,442.73,1.0,8.51,10000.0
19,COc1ccc2c(c1)CCC(c1ccc(OC)c(OC)c1)=C2,296.37,0.0,4.2,30.0
20,CCOC(=O)c1c(C)oc2ccc(Oc3ccccc3C)cc12,310.35,1.0,5.02,6100.0
21,CCOC(=O)c1c(-c2ccccc2)oc2ccc(Oc3ccccc3)cc12,358.39,1.0,6.07,18200.0
22,Cc1ccc(-c2nn(-c3ccccc3)cc2C2N[C@H](C(N)=O)CS2)cc1,364.47,0.0,3.04,380.0
23,CCCOCCCSc1ccccc1OC(C)=O,268.38,0.0,3.52,50000.0
24,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,329.42,0.0,3.44,2.0
25,NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,333.8,0.0,2.84,49.0
26,NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1,331.37,0.0,2.66,199.53
27,Cc1cccnc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,382.37,0.0,2.91,1540.0
28,CCCCSc1ccccc1OC(C)=O,224.32,0.0,3.5,34000.0
29,COc1ccc(-n2nc(COc3cc(F)cc(C4(OC)CCOCC4)c3)cc2-c2ccccc2)cc1,488.56,1.0,5.92,300.0
30,COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(C)cc4)n3)c2)CCOCC1,472.56,1.0,6.22,930.0
31,O=C1O[C@H](c2ccc(O)c(O)c2)[C@H]2CO[C@H](c3ccc(O)c(O)c3)[C@@H]12,344.32,0.0,2.11,90200.0
32,Clc1ccc(COc2nc3ccccc3s2)cc1,275.76,0.0,4.53,770.0
33,NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(F)cc2)cc1,334.33,0.0,1.88,1500.0
34,CC(C)(C)c1cc(/C=C2\OC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O,358.44,0.0,2.51,5100.0
35,CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccccc1OCc1ccccc1,448.54,0.0,4.37,3200.0
36,Cc1cccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)c1,330.37,0.0,2.05,510.0
37,C[S+]([O-])c1ccc(C(Nc2cccnc2)C(=O)c2ccc(F)cc2)cc1,368.43,0.0,3.99,500.0
38,CS(=O)(=O)c1ccc(-c2[nH]c(I)cc2-c2ccc(F)cc2)cc1,441.26,0.0,4.5,92300.0
39,COc1ccc2c(c1)c(CC(=O)Nc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,433.9,0.0,4.88,52.0
